rank,id_hex,power,known_name,known_tag
1,0x3a,36426290,VIP,VIP
2,0x21,35626024,ATLANTIS,ATL
3,0x23,37092654,DarkNation,DKN
4,0x27,27098968,ENERGY,NRG
5,0x29,20930411,Seraphins,xSPH
6,0x32,22162934,Darkness,DRK
7,0x51,16881567,SOS,xSOS
8,0x42,25076740,USAAAAA,???
9,0x58,4147893252,KINGS,KGS
10,0x64,4032283383,ONEPIECE,ONE
11,0x22,3951623090,TOP,xTOP
12,0x6a,3866953819,Unknown,???
13,0x33,1054508775,Unknown,???
14,0xcb,534251059,Unknown,???
15,0x50,215259494,Unknown,???
16,0x4b,4258155702,Unknown,???
17,0x4f,3430182404,Unknown,???
18,0x28,3407312631,Unknown,???
19,0x36,3387554702,Unknown,???
20,0x6d,3363684103,Unknown,???
21,0x80,1053014972,Unknown,???
22,0x3e,532887853,Unknown,???
23,0x5d,4240626102,Unknown,???
24,0x3d,4274147234,Unknown,???
25,0xbd,3251448324,Unknown,???
26,0x78,3178706935,Unknown,???
27,0x2c,3138911008,Unknown,???
28,0x71,49939465,Unknown,???
29,0x9e,1052236030,Unknown,???
30,0x7d,532038479,Unknown,???
31,0xb4,313726829,Unknown,???
32,0x59,4038216367,Unknown,???
33,0x2a,2979460356,Unknown,???
34,0x69,2951235575,Unknown,???
35,0x94,2919103242,Unknown,???
36,0xd2,2910681371,Unknown,???
37,0xc2,1051326841,Unknown,???
38,0x90,531176898,Unknown,???
39,0x6e,245753307,Unknown,???
40,0x40,262431238,Unknown,???
41,0x25,2749135876,Unknown,???
42,0x4c,2748716023,Unknown,???
43,0x76,2687171423,Unknown,???
44,0x79,2659034599,Unknown,???
45,0x7a,1050370029,Unknown,???
46,0xb6,530259076,Unknown,???
47,0xdb,311856730,Unknown,???
48,0x61,227859353,Unknown,???
49,0xae,2385649668,Unknown,???
50,0xcf,2336133879,Unknown,???
51,0x4a,2298346429,Unknown,???
52,0xd3,2273148615,Unknown,???
53,0xeb,1048367037,Unknown,???
54,0xec,528083783,Unknown,???
55,0x86,141846647,Unknown,???
56,0xb7,1860748804,Unknown,???
57,0xf3,1820584964,Unknown,???
58,0xf2,1350800887,Unknown,???
59,0xd4,1207368666,Unknown,???
60,0xb5,1149061351,Unknown,???
61,0x54,1044264914,Unknown,???
62,0xd9,524030868,Unknown,???
63,0x9d,0,Unknown,???
64,0x57,574327642,Unknown,???
65,0xd1,865872132,Unknown,???
66,0xfd,864060407,Unknown,???
67,0xc6,704183218,Unknown,???
68,0x5f,662555849,Unknown,???
69,0xc5,1042615134,Unknown,???
70,0x46,0,Unknown,???
71,0xe8,287117642,Unknown,???
72,0xaa,381224173,Unknown,???
73,0x4d,0,Unknown,???
74,0xf4,352844588,Unknown,???
75,0xc9,30016521,Unknown,???
76,0x55,1041371178,Unknown,???
77,0x56,521161558,Unknown,???
78,0x84,0,Unknown,???
79,0xed,219117307,Unknown,???
80,0x34,256672516,Unknown,???
81,0x7b,0,Unknown,???
82,0x35,0,Unknown,???
83,0x2e,192805973,Unknown,???
84,0x4e,0,Unknown,???
85,0xd5,520825129,Unknown,???
86,0xb3,0,Unknown,???
87,0x37,3070905542,Unknown,???
88,0xdf,167344132,Unknown,???
89,0x89,161156599,Unknown,???
90,0xc7,151845790,Unknown,???
91,0x8b,0,Unknown,???
92,0x45,0,Unknown,???
93,0xbe,0,Unknown,???
94,0x74,268985447,Unknown,???
95,0x70,3121107902,Unknown,???
96,0x60,0,Unknown,???
97,0x9b,134064119,Unknown,???
98,0x83,131988421,Unknown,???
99,0x5a,0,Unknown,???
